sat,start,fa,count,mean,dur_us,lon,lat,rate_win,n_core,n_det_hit,det_frac_max,max_mult,n_times,min_dt_us,pi_core_med,pi_bkg_med,pi_ratio,n_pm5ms,pass_rate
GRID-02,2021-01-24T18:21:51.250,1.893e-08,20,1.2433,965.4,-127.71,-52.27,1329,20,4,0.400,1,20,9.30,22,16,1.406,28,1536
GRID-02,2021-01-24T19:54:31.291,3.666e-22,32,1.4807,995.9,-149.31,-47.18,1614,32,4,0.312,3,25,28.13,20,17,1.206,68,1539
GRID-02,2021-03-07T09:07:50.310,4.652e-09,20,1.1584,965.4,-168.71,50.15,1253,19,4,0.368,1,19,7.39,29,19,1.526,47,949
GRID-03B,2022-03-13T13:21:57.558,1.301e-12,12,0.0946,173.1,138.45,-7.81,645,11,3,0.455,1,11,2.38,48,17,2.824,12,737
GRID-03B,2022-03-25T11:46:34.723,3.114e-07,8,0.0405,79.6,161.95,-5.70,619,7,4,0.286,2,6,2.86,36,14,2.571,11,535
GRID-03B,2022-05-01T21:55:53.131,2.276e-07,12,0.2689,665.4,-176.84,-36.21,8818,11,4,0.273,4,5,14.78,61,4,15.250,78,7710
GRID-03B,2022-05-05T15:38:21.223,1.667e-16,14,0.1048,264.6,102.68,2.66,5813,14,4,0.429,2,12,0.24,38,4,9.625,66,5821
GRID-03B,2022-08-21T01:04:52.477,1.483e-22,13,0.0237,41.2,143.89,21.43,662,12,4,0.333,2,10,0.72,58,19,3.079,10,1084
GRID-03B,2022-08-29T17:59:58.052,1.627e-07,8,0.0376,77.7,71.30,-29.01,575,7,4,0.286,2,5,0.24,82,15,5.467,8,454
GRID-03B,2022-10-04T00:09:56.543,6.003e-43,21,0.0324,78.7,152.91,-11.96,759,20,4,0.300,2,18,0.24,60,8,7.500,9,851
GRID-03B,2022-10-07T13:04:12.823,4.481e-30,19,0.0774,159.3,141.52,-4.57,831,18,4,0.333,1,18,0.95,35,8,4.375,11,1003
GRID-03B,2022-11-22T15:38:14.444,8.223e-08,16,0.6867,948.2,105.63,-24.17,1361,16,4,0.500,1,16,5.72,16,8,2.062,62,1305
GRID-03B,2022-11-28T23:13:22.047,9.078e-06,11,0.2489,326.4,171.42,21.54,1416,8,4,0.375,3,6,0.24,52,8,6.500,20,1602
GRID-03B,2023-03-20T20:25:56.103,1.465e-23,12,0.0126,66.5,31.84,-12.66,201,11,4,0.364,1,11,0.48,69,23,3.000,3,141
GRID-03B,2023-03-30T07:25:20.207,3.693e-07,9,0.0790,206.2,54.65,51.15,391,5,4,0.400,3,3,0.24,79,25,3.160,7,386
GRID-03B,2023-05-14T21:24:58.443,2.530e-11,8,0.0140,68.4,15.67,-1.13,212,7,4,0.429,2,5,6.44,81,19,4.263,3,231
GRID-03B,2023-06-02T07:07:31.260,7.939e-06,9,0.1168,466.3,50.78,6.20,263,5,4,0.400,3,3,0.72,27,16,1.688,8,254
GRID-03B,2023-06-13T08:34:56.817,6.618e-07,11,0.2137,739.6,28.01,-1.19,298,10,4,0.400,2,7,0.24,60,25,2.420,2,236
GRID-03B,2023-06-22T07:13:26.171,2.322e-06,9,0.1015,395.5,54.74,39.42,264,8,4,0.375,3,4,0.24,82,19,4.316,2,207
GRID-03B,2023-07-01T14:50:37.075,3.786e-27,16,0.0437,175.2,114.78,-3.39,266,15,4,0.400,2,13,3.10,44,19,2.316,3,320
GRID-03B,2023-07-04T17:16:17.500,2.439e-08,10,0.1024,384.1,70.36,45.33,277,7,4,0.429,3,4,59.84,88,21,4.190,6,232
GRID-03B,2023-07-15T15:54:35.139,6.373e-16,9,0.0091,51.0,-80.60,7.34,188,8,3,0.500,1,8,0.95,62,18,3.472,4,6310
GRID-03B,2023-07-27T17:27:41.107,3.118e-12,8,0.0101,30.5,79.20,-27.88,342,4,4,0.250,2,2,0.48,86,20,4.325,9,215
GRID-03B,2023-08-19T11:19:35.885,7.165e-08,8,0.0360,118.7,171.99,-31.35,309,4,3,0.500,1,4,0.24,28,23,1.239,5,331
GRID-03B,2023-08-31T09:33:56.322,4.252e-07,9,0.0876,501.2,18.17,29.46,182,6,4,0.333,3,4,31.95,57,16,3.562,3,204
GRID-03B,2023-09-23T15:04:43.919,1.075e-06,8,0.0511,184.8,105.66,37.78,285,7,4,0.429,2,4,0.24,53,20,2.650,4,5717
GRID-03B,2023-10-09T12:02:33.915,1.952e-17,11,0.0235,94.7,158.34,-8.98,259,10,3,0.500,2,9,0.48,34,19,1.789,3,392
GRID-03B,2023-11-01T06:59:19.447,9.220e-06,9,0.1209,561.7,51.66,-12.01,225,8,4,0.375,3,5,0.24,68,18,3.778,4,199
GRID-03B,2023-11-02T11:56:52.777,5.584e-09,10,0.0919,514.0,161.55,-19.78,188,9,4,0.333,3,5,0.24,86,20,4.300,2,362
GRID-03B,2023-11-03T17:57:56.419,1.153e-20,11,0.0123,67.2,67.17,11.00,194,10,4,0.400,1,10,1.67,56,17,3.324,3,202
GRID-03B,2023-11-04T15:56:59.292,1.584e-11,9,0.0282,170.2,98.45,3.26,176,8,3,0.500,1,8,4.77,19,20,0.975,4,242
GRID-03B,2023-11-18T11:39:47.324,5.496e-07,10,0.1376,425.8,162.81,4.29,331,6,3,0.500,2,5,0.24,29,24,1.208,5,322
GRID-03B,2024-01-14T13:50:21.606,1.169e-06,10,0.1462,386.0,136.72,-33.96,388,6,4,0.333,1,6,0.24,29,26,1.135,7,316
GRID-03B,2024-01-18T15:57:04.315,1.025e-19,10,0.0077,43.9,-79.50,3.05,187,9,4,0.333,1,9,0.95,38,17,2.235,4,2049
GRID-04,2022-04-14T21:08:44.692,4.505e-22,33,1.6403,979.4,-164.44,-33.51,2737,34,4,0.353,2,29,1.19,16,12,1.333,93,1959
GRID-04,2022-08-19T11:42:21.034,2.845e-14,21,0.7532,941.5,165.83,-29.53,2104,20,4,0.350,2,19,0.95,13,6,2.250,71,2366
GRID-04,2022-08-19T13:18:05.791,8.402e-19,27,1.1199,997.1,141.64,-28.01,2431,29,4,0.345,2,26,8.11,21,7,3.000,77,2334
GRID-04,2024-01-01T06:15:24.361,2.220e-08,28,3.0547,977.8,-122.26,44.89,3186,27,4,0.296,2,25,9.78,20,21,0.952,67,2136
GRID-04,2024-01-02T03:23:39.487,6.707e-18,27,1.2088,971.3,102.62,-36.50,1320,26,4,0.423,2,25,28.85,24,29,0.828,63,738
GRID-04,2024-01-09T01:39:19.562,4.061e-07,20,1.4516,954.9,128.41,-38.53,1564,19,4,0.316,2,18,0.24,16,16,1.000,41,1060
GRID-04,2024-01-19T03:05:49.438,4.664e-11,21,1.0644,858.8,107.40,-36.51,1304,20,4,0.450,2,18,1.43,18,25,0.740,58,706
GRID-04,2024-01-26T20:04:19.632,1.891e-10,18,0.7075,978.2,-150.06,-48.72,758,17,4,0.471,1,17,4.29,22,16,1.375,24,1064
GRID-04,2024-02-01T13:10:09.634,1.140e-11,18,0.6067,964.2,132.17,53.03,672,17,4,0.412,2,16,16.45,20,14,1.429,33,880
GRID-07,2024-01-02T11:17:09.810,4.979e-14,27,1.6892,966.1,160.28,49.67,1807,25,4,0.360,2,22,14.78,14,17,0.824,47,936
GRID-07,2024-01-27T22:32:39.874,2.596e-07,20,1.4180,943.4,171.06,-52.25,1562,19,4,0.316,1,19,12.16,39,29,1.345,47,1166
GRID-07,2024-02-03T03:55:09.694,1.692e-07,18,1.0245,919.6,92.17,-47.08,1166,17,4,0.353,1,17,17.88,36,28,1.286,40,1270
